DateTime,Symbol,Amount
2013-11-18T00:00:00.0000000+01:00,H2,-100.73
2013-11-18T00:00:00.0000000+01:00,O18,-13.91
2013-12-16T00:00:00.0000000+01:00,H2,-103.32
2013-12-16T00:00:00.0000000+01:00,O18,-14.19
2014-01-12T00:00:00.0000000+01:00,H2,-77.2
2014-01-12T00:00:00.0000000+01:00,O18,-10.59
2014-01-13T00:00:00.0000000+01:00,H2,-102.8
2014-01-13T00:00:00.0000000+01:00,O18,-14.19
2014-02-10T00:00:00.0000000+01:00,H2,-103.6
2014-02-10T00:00:00.0000000+01:00,O18,-14.11
2014-03-10T00:00:00.0000000+01:00,H2,-104.2
2014-03-10T00:00:00.0000000+01:00,O18,-14.06
2014-04-07T00:00:00.0000000+02:00,H2,-105.4
2014-04-07T00:00:00.0000000+02:00,O18,-14.32
2014-05-05T00:00:00.0000000+02:00,H2,-107.3
2014-05-05T00:00:00.0000000+02:00,O18,-14.42
2014-06-02T00:00:00.0000000+02:00,H2,-111
2014-06-02T00:00:00.0000000+02:00,O18,-14.79
2014-06-30T00:00:00.0000000+02:00,H2,-108.7
2014-06-30T00:00:00.0000000+02:00,O18,-14.67
2014-07-28T00:00:00.0000000+02:00,H2,-104.7
2014-07-28T00:00:00.0000000+02:00,O18,-14.23
2014-08-25T00:00:00.0000000+02:00,H2,-102.2
2014-08-25T00:00:00.0000000+02:00,O18,-14.01
2014-09-25T00:00:00.0000000+02:00,H2,-104.9
2014-09-25T00:00:00.0000000+02:00,O18,-14.32
2014-10-20T00:00:00.0000000+02:00,H2,-101.1
2014-10-20T00:00:00.0000000+02:00,O18,-13.86
2014-11-17T00:00:00.0000000+01:00,H2,-103
2014-11-17T00:00:00.0000000+01:00,O18,-14.03
2014-12-15T00:00:00.0000000+01:00,H2,-104.6
2014-12-15T00:00:00.0000000+01:00,O18,-14.4
2015-01-12T00:00:00.0000000+01:00,H2,-105.5
2015-01-12T00:00:00.0000000+01:00,O18,-14.39
2015-02-09T00:00:00.0000000+01:00,H2,-107.1
2015-02-09T00:00:00.0000000+01:00,O18,-14.72
2015-03-09T00:00:00.0000000+01:00,H2,-105.6
2015-03-09T00:00:00.0000000+01:00,O18,-14.37
2015-04-06T00:00:00.0000000+02:00,H2,-103.8
2015-04-06T00:00:00.0000000+02:00,O18,-14.09
2015-05-04T00:00:00.0000000+02:00,H2,-107.6
2015-05-04T00:00:00.0000000+02:00,O18,-14.62
2015-06-01T00:00:00.0000000+02:00,H2,-110.6
2015-06-01T00:00:00.0000000+02:00,O18,-15.1
2015-06-29T00:00:00.0000000+02:00,H2,-110.5
2015-06-29T00:00:00.0000000+02:00,O18,-15.09
2015-07-27T00:00:00.0000000+02:00,H2,-109.6
2015-07-27T00:00:00.0000000+02:00,O18,-14.84
2015-08-24T00:00:00.0000000+02:00,H2,-104.5
2015-08-24T00:00:00.0000000+02:00,O18,-14.28
