date,Tr,Tr_rm,scen
2016-04-23,0.29367457292926347,0.52775575544623,Control
2016-04-24,0.5166519319260031,0.531535929205625,Control
2016-04-25,0.49539667043136404,0.5596562187997038,Control
2016-04-26,0.6409461082425973,0.533992802709443,Control
2016-04-27,0.5683853799612361,0.5304228766565814,Control
2016-04-28,0.5744315169256226,0.5353250016014617,Control
2016-04-29,0.6518292818132215,0.5557669961282483,Control
2016-04-30,0.464723110219912,0.585200947121966,Control
2016-05-01,0.18235780797013895,0.5952182442767665,Control
2016-05-02,0.6221582704918096,0.6037281654372496,Control
2016-05-03,0.44309174067656804,0.6127873158487607,Control
2016-05-04,0.744828096703371,0.6105595234563025,Control
2016-05-05,0.7851001507636282,0.5697684381850199,Control
2016-05-06,0.7971633067407398,0.5436727537484624,Control
2016-05-07,0.705749886841311,0.5443048953840842,Control
2016-05-08,0.6568940920932099,0.5908420713704822,Control
2016-05-09,0.6145355666781285,0.5989570387707249,Control
2016-05-10,0.7677742140037521,0.6341741400708167,Control
2016-05-11,0.5371962864668215,0.6416598320758498,Control
2016-05-12,0.0033563231276668997,0.6198794979694527,Control
2016-05-13,0.2864896997014156,0.6250436105549492,Control
2016-05-14,0.47357309311861767,0.6419253831869435,Control
2016-05-15,0.8338782717797107,0.6566587646711326,Control
2016-05-16,0.7357678140952075,0.6216852662498796,Control
2016-05-17,0.9361311588778534,0.6094030406460267,Control
2016-05-18,0.8496277847738343,0.62127521300824,Control
2016-05-19,0.4801754732740702,0.6786983477623983,Control
2016-05-20,0.8694608829376888,0.735789254579572,Control
2016-05-21,0.9420947036892319,0.7700032994389895,Control
2016-05-22,0.8631614328718563,0.7141817214714647,Control
2016-05-23,0.12490658878058915,0.7155771204727658,Control
2016-05-24,0.5958230555498104,0.7126632649638872,Control
2016-05-25,0.7034066995378065,0.7187495270352987,Control
2016-05-26,0.807280209685885,0.6926283549455992,Control
2016-05-27,1.0857623951418458,0.6683802643463699,Control
2016-05-28,0.9525697211504638,0.6632752582393512,Control
2016-05-29,0.05237618023436273,0.66829255131912,Control
2016-05-30,0.7553034001134227,0.7295835189053506,Control
2016-05-31,0.8953371817535538,0.7282292748337048,Control
2016-06-01,0.9348354537735951,0.7309579232621549,Control
2016-06-02,0.11447906401827643,0.7491171061465421,Control
2016-06-03,0.5299876145484788,0.699608161691369,Control
2016-06-04,0.8706246181909705,0.6824577246782415,Control
2016-06-05,0.9334035359886198,0.7183976275450066,Control
2016-06-07,0.9829801349878161,0.718440506921168,Control
2016-06-08,0.5768636385467696,0.7212445932263606,Control
2016-06-09,0.7416077775361098,0.7211341856282469,Control
2016-06-10,1.0615087700673056,0.7892735638540803,Control
2016-06-11,0.39263717276941973,0.7914432715784123,Control
2016-06-12,0.7124636029666817,0.8127453249685116,Control
2016-06-13,0.555534820369072,0.8261907491350796,Control
2016-06-14,0.7559037113796833,0.8291538812967181,Control
2016-06-15,0.9345943900262494,0.8031612086195837,Control
2016-06-19,0.9332897474000031,0.8218513164583909,Control
2016-06-20,1.0684303591799451,0.8229320421212523,Control
2016-06-21,0.5603635226891261,0.8660762627611447,Control
2016-06-22,1.1688533656523623,0.8846619255090052,Control
2016-06-23,1.121639474320571,0.8987300247042879,Control
2016-06-24,1.0244639852507542,0.9163640712416817,Control
2016-06-25,0.21296622106688848,0.8710685175360331,Control
2016-06-26,1.0032692872794107,0.8746394768637064,Control
2016-06-27,1.0766389293473642,0.8667934549061375,Control
2016-06-28,0.9966562617279144,0.8853217419012972,Control
2016-06-29,0.9726628814367296,0.8622357295707154,Control
2016-06-30,0.7524882091030282,0.8413041032413828,Control
2016-07-01,1.002780362903197,0.8233532936553468,Control
2016-07-02,0.30045663814716855,0.8665992455872321,Control
2016-07-03,0.9832831779874304,0.8538350767540397,Control
2016-07-04,0.9585860517739797,0.8228339217686989,Control
2016-07-05,0.819759540621362,0.752887415932416,Control
2016-07-06,0.8456491930242167,0.7315175543390167,Control
2016-07-07,0.8285967057099164,0.7269738476116406,Control
2016-07-08,0.7731526510462486,0.727261258335308,Control
2016-07-09,0.8184095481132835,0.7766557190520346,Control
2016-07-10,0.8245709236147158,0.7792359161314002,Control
2016-07-11,0.6426227595525927,0.783875113399093,Control
2016-07-12,0.01740518001995497,0.7952727196147423,Control
2016-07-13,0.6734848191291383,0.8018757422020483,Control
2016-07-14,0.6888763149197646,0.8017744691267695,Control
2016-07-15,1.0068041130345384,0.7685426930846637,Control
2016-07-16,0.991979088181342,0.7561637061688025,Control
2016-07-17,1.019405937098549,0.7611390231721702,Control
2016-07-18,1.0235348135216793,0.7786315539535114,Control
2016-07-19,0.979326027640451,0.8415489988685371,Control
2016-07-20,0.9380915092465013,0.8464445224194658,Control
2016-07-21,0.827178882656014,0.8514704452779416,Control
2016-07-22,0.3079077864567672,0.8367378129668729,Control
2016-07-23,0.6451037312912262,0.8107086890499706,Control
2016-07-24,0.8942253616618638,0.7641584640363097,Control
2016-07-25,0.8875181904913686,0.7430208230167201,Control
2016-07-26,0.8982494088303166,0.7022328901433079,Control
2016-07-27,0.7420221488421392,0.653458645639759,Control
2016-07-28,0.7592392349384253,0.6509282681404006,Control
2016-07-29,0.8005472606795769,0.6962936142034168,Control
2016-07-30,0.62757135334471,0.7159882245917915,Control
2016-07-31,0.3677027869072963,0.68765504188575,Control
2016-08-01,0.727607839247425,0.6726019183642642,Control
2016-08-02,0.4082949674126796,0.6762661614726254,Control
2016-08-05,0.2552520861968168,0.6921865369546314,Control
2016-08-06,0.7917535976649955,0.7072760631338001,Control
2016-08-07,0.9430226313389966,0.7181630808593582,Control
2016-08-08,0.9208282767284689,0.7356367625755655,Control
2016-08-09,0.4975608037772837,0.7612186067567236,Control
2016-08-10,0.6767744611905683,0.7574614615396085,Control
2016-08-11,0.9495488123473728,0.7545393753224798,Control
2016-08-12,0.964907405590224,0.7893342404419118,Control
2016-08-13,0.970492601446788,0.7493402216832272,Control
2016-08-14,0.9529655088373907,0.7400918828841222,Control
2016-08-15,0.8722028973716114,0.7290624936970884,Control
2016-08-16,0.7258486054435098,0.7472128674050768,Control
2016-08-17,0.6750078062078133,0.7525731054643039,Control
2016-08-18,0.36738576037287735,0.7385557483383368,Control
2016-08-19,0.7423801978688644,0.7225057939087348,Control
2016-08-20,0.23183733504341233,0.7019207805257098,Control
2016-08-21,0.8135458881515268,0.6769523452923887,Control
2016-08-22,0.7664168281099958,0.661939974417045,Control
2016-08-23,0.7516660356891196,0.6520660779548122,Control
