date,meta,depth,SWP,SWPt
2015-12-31,control,10,-28.031666666666666,-28.031666666666666
2016-01-01,control,10,-28.528333333333332,-28.528333333333332
2016-01-02,control,10,-28.888333333333332,-28.888333333333332
2016-01-03,control,10,-26.195,-26.195
2016-01-04,control,10,-19.196666666666665,-19.196666666666665
2016-01-05,control,10,-9.781666666666666,-9.781666666666666
2016-01-06,control,10,-9.549999999999999,-9.549999999999999
2016-01-07,control,10,-9.795,-9.795
2016-01-08,control,10,-9.93,-9.93
2016-01-09,control,10,-9.483333333333334,-9.483333333333334
2016-01-10,control,10,-9.471666666666666,-9.471666666666666
2016-01-11,control,10,-9.368333333333334,-9.368333333333334
2016-01-12,control,10,-9.33,-9.33
2016-01-13,control,10,-9.336666666666666,-9.336666666666666
2016-01-14,control,10,-9.553333333333333,-9.553333333333333
2016-01-15,control,10,-9.843333333333334,-9.843333333333334
2016-01-16,control,10,-10.221666666666668,-10.221666666666668
2016-01-17,control,10,-10.718333333333334,-10.718333333333334
2016-01-18,control,10,-11.943333333333333,-11.943333333333333
2016-01-19,control,10,-13.455,-13.455
2016-01-20,control,10,-13.816666666666666,-13.816666666666666
2016-01-21,control,10,-14.036666666666667,-14.036666666666667
2016-01-22,control,10,-15.471666666666666,-15.471666666666666
2016-01-23,control,10,-16.351666666666667,-16.351666666666667
2016-01-24,control,10,-16.536666666666665,-16.536666666666665
2016-01-25,control,10,-16.368333333333332,-16.368333333333332
2016-01-26,control,10,-16.065,-16.065
2016-01-27,control,10,-15.621666666666666,-15.621666666666666
2016-01-28,control,10,-15.456666666666667,-15.456666666666667
2016-01-29,control,10,-15.913333333333334,-15.913333333333334
2016-01-30,control,10,-16.413333333333334,-16.413333333333334
2016-01-31,control,10,-10.345,-10.345
2016-02-01,control,10,-9.493333333333332,-9.493333333333332
2016-02-02,control,10,-9.705,-9.705
2016-02-03,control,10,-9.9,-9.9
2016-02-04,control,10,-9.991666666666667,-9.991666666666667
2016-02-05,control,10,-9.766666666666666,-9.766666666666666
2016-02-06,control,10,-9.946666666666665,-9.946666666666665
2016-02-07,control,10,-10.228333333333333,-10.228333333333333
2016-02-08,control,10,-10.256666666666666,-10.256666666666666
2016-02-09,control,10,-10.408333333333333,-10.408333333333333
2016-02-10,control,10,-9.841666666666667,-9.841666666666667
2016-02-11,control,10,-10.004999999999999,-10.004999999999999
2016-02-12,control,10,-10.248333333333333,-10.248333333333333
2016-02-13,control,10,-10.348333333333333,-10.348333333333333
2016-02-14,control,10,-9.816666666666666,-9.816666666666666
2016-02-15,control,10,-9.79,-9.79
2016-02-16,control,10,-9.818333333333333,-9.818333333333333
2016-02-17,control,10,-9.998333333333333,-9.998333333333333
2016-02-18,control,10,-10.231666666666667,-10.231666666666667
2016-02-19,control,10,-10.466666666666667,-10.466666666666667
2016-02-20,control,10,-10.823333333333334,-10.823333333333334
2016-02-21,control,10,-10.146666666666667,-10.146666666666667
2016-02-22,control,10,-10.175,-10.175
2016-02-23,control,10,-10.381666666666668,-10.381666666666668
2016-02-24,control,10,-10.401666666666667,-10.401666666666667
2016-02-25,control,10,-10.143333333333333,-10.143333333333333
2016-02-26,control,10,-10.245000000000001,-10.245000000000001
2016-02-27,control,10,-10.596666666666668,-10.596666666666668
2016-02-28,control,10,-10.45,-10.45
2016-02-29,control,10,-10.3,-10.3
2016-03-01,control,10,-10.688333333333333,-10.688333333333333
2016-03-02,control,10,-11.395,-11.395
2016-03-03,control,10,-11.543333333333333,-11.543333333333333
2016-03-04,control,10,-11.801666666666666,-11.801666666666666
2016-03-05,control,10,-11.723333333333333,-11.723333333333333
2016-03-06,control,10,-10.75,-10.75
2016-03-07,control,10,-11.388333333333334,-11.388333333333334
2016-03-08,control,10,-12.115,-12.115
2016-03-09,control,10,-12.976666666666667,-12.976666666666667
2016-03-10,control,10,-13.973333333333333,-13.973333333333333
2016-03-11,control,10,-14.953333333333333,-14.953333333333333
2016-03-12,control,10,-15.821666666666665,-15.821666666666665
2016-03-13,control,10,-16.773333333333333,-16.773333333333333
2016-03-14,control,10,-17.72833333333333,-17.72833333333333
2016-03-15,control,10,-18.473333333333333,-18.473333333333333
2016-03-16,control,10,-19.131666666666668,-19.131666666666668
2016-03-17,control,10,-20.156666666666666,-20.156666666666666
2016-03-18,control,10,-21.328333333333333,-21.328333333333333
2016-03-19,control,10,-22.698333333333334,-22.698333333333334
2016-03-20,control,10,-24.583333333333332,-24.583333333333332
2016-03-21,control,10,-26.788333333333334,-26.788333333333334
2016-03-22,control,10,-28.724999999999998,-28.724999999999998
2016-03-23,control,10,-30.746666666666666,-30.746666666666666
2016-03-24,control,10,-32.785,-32.785
2016-03-25,control,10,-34.693333333333335,-34.693333333333335
2016-03-26,control,10,-36.39333333333333,-36.39333333333333
2016-03-27,control,10,-39.028333333333336,-39.028333333333336
2016-03-28,control,10,-40.54333333333334,-40.54333333333334
2016-03-29,control,10,-43.211666666666666,-43.211666666666666
2016-03-30,control,10,-46.14,-46.14
2016-03-31,control,10,-55.57333333333333,-55.57333333333333
2016-04-01,control,10,-65.43,-65.43
2016-04-02,control,10,-72.11166666666666,-72.11166666666666
2016-04-03,control,10,-81.78999999999999,-81.78999999999999
2016-04-04,control,10,-94.575,-94.575
2016-04-05,control,10,-110.11,-110.11
2016-04-06,control,10,-114.44666666666667,-114.44666666666667
2016-04-07,control,10,-99.32333333333334,-99.32333333333334
2016-04-08,control,10,-98.03166666666667,-98.03166666666667
2016-04-09,control,10,-48.721666666666664,-48.721666666666664
2016-04-10,control,10,-31.193333333333335,-31.193333333333335
2016-04-11,control,10,-32.60666666666667,-32.60666666666667
2016-04-12,control,10,-36.03666666666667,-36.03666666666667
2016-04-13,control,10,-40.54333333333334,-40.54333333333334
2016-04-14,control,10,-43.275,-43.275
2016-04-15,control,10,-48.91,-48.91
2016-04-16,control,10,-58.145,-58.145
2016-04-17,control,10,-61.55833333333334,-61.55833333333334
2016-04-18,control,10,-62.51,-62.51
