date,Treatment,Total_Sap_Flow
2024-08-06,roof_vpd,0.1658272704745514
2024-08-07,control,0.23871234549652548
2024-08-07,irrigation,1.2216528332615086
2024-08-07,irrigation_vpd,1.0879218568030422
2024-08-07,roof,0.13513396368552652
2024-08-07,roof_vpd,0.15207162170413016
2024-08-08,control,0.23015469286383683
2024-08-08,irrigation,1.3052733852301093
2024-08-08,irrigation_vpd,1.1903200426338016
2024-08-08,roof,0.12350065232489546
2024-08-08,roof_vpd,0.14746297443940473
2024-08-09,control,0.2201568716935118
2024-08-09,irrigation,1.3307176648871772
2024-08-09,irrigation_vpd,1.240370557535544
2024-08-09,roof,0.1355718809441962
2024-08-09,roof_vpd,0.14469077367390437
2024-08-10,control,0.21369625493451339
2024-08-10,irrigation,1.3442072704017722
2024-08-10,irrigation_vpd,1.2337316448204951
2024-08-10,roof,0.12619082561224018
2024-08-10,roof_vpd,0.13725619880225176
2024-08-11,control,0.2132661441979036
2024-08-11,irrigation,1.4022678273587956
2024-08-11,irrigation_vpd,1.2798885401084539
2024-08-11,roof,0.12852042987994075
2024-08-11,roof_vpd,0.13640084747430184
2024-08-12,control,0.19403135497189217
2024-08-12,irrigation,1.139348311413286
2024-08-12,irrigation_vpd,1.0881234342484345
2024-08-12,roof,0.11888986477154276
2024-08-12,roof_vpd,0.12669745632749316
2024-08-13,control,0.19451859414637152
2024-08-13,irrigation,1.2402194281403565
2024-08-13,irrigation_vpd,1.1462662842064868
2024-08-13,roof,0.12175967681468952
2024-08-13,roof_vpd,0.12264716741746688
2024-08-14,control,0.16362632345455405
2024-08-14,irrigation,0.9711225143648973
2024-08-14,irrigation_vpd,0.8858949834909177
2024-08-14,roof,0.12242053646241659
2024-08-14,roof_vpd,0.10825942246468273
2024-08-15,control,0.18117042172104453
2024-08-15,irrigation,1.1615964074348921
2024-08-15,irrigation_vpd,1.0432145219891704
2024-08-15,roof,0.1078889782442151
2024-08-15,roof_vpd,0.11577546594842422
2024-08-16,control,0.18925550949700204
2024-08-16,irrigation,1.3095572815724061
2024-08-16,irrigation_vpd,1.177463811214392
2024-08-16,roof,0.12269999189967355
2024-08-16,roof_vpd,0.11992816354578599
2024-08-17,control,0.07749079230061354
2024-08-17,irrigation,0.11921992028990203
2024-08-17,irrigation_vpd,0.09834340444157537
2024-08-17,roof,0.04114166315704415
2024-08-17,roof_vpd,0.04575462694334631
2024-08-18,control,0.2303002174233867
2024-08-18,irrigation,0.6545116858375929
2024-08-18,irrigation_vpd,0.4912773161741691
2024-08-18,roof,0.17610897466367387
2024-08-18,roof_vpd,0.12609549982796886
2024-08-19,control,0.4817387326847695
2024-08-19,irrigation,1.2437112747093064
2024-08-19,irrigation_vpd,1.1178275730680989
