date,scenario,sf
2011-09-30,irrigation stop,44.958806702416666
2011-10-01,control,25.165951697333334
2011-10-01,irrigation stop,43.85622447183333
2011-10-02,control,23.712507739166668
2011-10-02,irrigation stop,40.98021668091667
2011-10-03,control,6.333106130666667
2011-10-03,irrigation stop,20.385012815583334
2011-10-04,control,2.9542624878333332
2011-10-04,irrigation stop,9.1491599765
2011-10-05,control,18.116671739416667
2011-10-05,irrigation stop,34.554031807166666
2011-10-06,control,4.90319356925
2011-10-06,irrigation stop,19.675905552166668
2011-10-07,control,0.44830115375
2011-10-07,irrigation stop,4.9778462826666665
2011-10-08,control,17.090521568083332
2011-10-08,irrigation stop,28.837207747999997
2011-10-09,control,0.5894553213333333
2011-10-09,irrigation stop,0.8145185869166667
2011-10-10,control,0.3247032241666667
2011-10-10,irrigation stop,0.6127336194999999
2011-10-11,control,0.09351517725
2011-10-11,irrigation stop,0.21260084699999998
2011-10-12,control,0.03985770516666667
2011-10-12,irrigation stop,0.09229315833333332
2011-10-13,control,0.0385279225
2011-10-13,irrigation stop,0.08953506166666667
2011-10-14,control,0.038007916833333336
2011-10-14,irrigation stop,0.0879470845
2011-10-15,control,0.037481973333333335
2011-10-15,irrigation stop,0.08634080775
2011-10-16,control,0.036950007416666666
2011-10-16,irrigation stop,0.08471816658333334
2011-10-17,control,0.03641193416666667
2011-10-17,irrigation stop,0.08308177825
2011-10-18,control,0.035867668
2011-10-18,irrigation stop,0.08143521441666667
2011-10-19,control,0.03531712125
2011-10-19,irrigation stop,0.07978342233333333
2011-10-20,control,0.03476020933333333
2011-10-20,irrigation stop,0.07813343741666667
2011-10-21,control,0.03419684425
2011-10-21,irrigation stop,0.07649569933333333
2011-10-22,control,0.033626940333333334
2011-10-22,irrigation stop,0.07488689225
2011-10-23,control,0.03305041041666667
2011-10-23,irrigation stop,0.07333762891666668
2011-10-24,control,0.5350214458333333
2011-10-24,irrigation stop,1.3096549825833335
2011-10-25,control,3.116702795666667
2011-10-25,irrigation stop,0.5182779733333334
2011-10-26,control,5.524186173
2011-10-26,irrigation stop,0
2011-10-27,control,2.7619175584166666
2011-10-27,irrigation stop,0
2011-10-28,control,4.30164790825
2011-10-28,irrigation stop,12.437996914916667
2011-10-29,control,7.42104014575
2011-10-29,irrigation stop,15.872113874416666
2011-10-30,control,5.646361713166667
2011-10-30,irrigation stop,10.934769791666668
2011-10-31,control,9.453853494416666
2011-10-31,irrigation stop,15.44713042875
2011-11-01,control,7.199456552416667
2011-11-01,irrigation stop,0
2011-11-02,control,14.170431032166665
2011-11-02,irrigation stop,0
2011-11-03,control,12.919703953416667
2011-11-03,irrigation stop,0
2011-11-04,control,8.364940709166667
2011-11-04,irrigation stop,0
2011-11-05,control,7.229868926916667
2011-11-05,irrigation stop,1.0108514523333334
2011-11-06,control,5.87918700825
2011-11-06,irrigation stop,0.08038824416666666
2011-11-07,control,13.138583713500001
2011-11-07,irrigation stop,0.07571488191666667
2011-11-08,control,6.752358846416667
2011-11-08,irrigation stop,0.07509568733333333
2011-11-09,control,1.41100344475
2011-11-09,irrigation stop,0.07447923141666667
2011-11-10,control,1.9565378634166666
2011-11-10,irrigation stop,0.07386672375
2011-11-11,control,2.3180559313333333
2011-11-11,irrigation stop,0.07325978016666666
2011-11-12,control,4.1159268565
2011-11-12,irrigation stop,0.07266061733333333
2011-11-13,control,1.829090576
2011-11-13,irrigation stop,0.07207251816666665
2011-11-14,control,1.1604636325833333
2011-11-14,irrigation stop,0.07150133316666667
2011-11-15,control,0.5885763098333333
2011-11-15,irrigation stop,0.07095948983333333
2011-11-16,control,0.4984092574166667
2011-11-16,irrigation stop,0.07053514258333334
2011-11-17,control,0.06939288708333333
2011-11-17,irrigation stop,0.07019100616666667
2011-11-18,control,0.07466542500000001
2011-11-18,irrigation stop,0.06985251883333334
2011-11-19,control,0.0852893815
2011-11-19,irrigation stop,0.06950975566666667
2011-11-20,control,0.08513348758333333
2011-11-20,irrigation stop,0.06916263858333334
2011-11-21,control,0.08477702683333332
2011-11-21,irrigation stop,0.06881108383333333
2011-11-22,control,0.08441906616666667
2011-11-22,irrigation stop,0.06845500916666666
2011-11-23,control,0.08405959883333333
2011-11-23,irrigation stop,0.06809432591666667
2011-11-24,control,0.08369861608333333
2011-11-24,irrigation stop,0.06772894783333333
2011-11-25,control,0.08333610908333333
2011-11-25,irrigation stop,0.06735878491666666
2011-11-26,control,0.08297206983333333
2011-11-26,irrigation stop,0.06698374233333333
2011-11-27,control,0.08260649
2011-11-27,irrigation stop,0.06660372641666666
2011-11-28,control,0.08223935883333333
2011-11-28,irrigation stop,0.0662186395
2011-11-29,control,0.081870671
2011-11-29,irrigation stop,0.06582838116666667
2011-11-30,control,0.08150041499999999
2011-11-30,irrigation stop,0.06543285
2011-12-01,control,0.08112858275000001
2011-12-01,irrigation stop,0.0650319395
2011-12-02,control,0.08075516575
2011-12-02,irrigation stop,0.06462554358333333
2011-12-03,control,0.08038015533333333
2011-12-03,irrigation stop,0.064213549083333335
2011-12-04,control,0.08000354241666666
2011-12-04,irrigation stop,0.0637958455
2011-12-05,control,0.07962531758333333
2011-12-05,irrigation stop,0.0633723135
2011-12-06,control,0.07924547283333333
2011-12-06,irrigation stop,0.06294283625
2011-12-07,control,0.0788639975
2011-12-07,irrigation stop,0.06250728908333333
2011-12-08,control,0.07848088366666667
