dates,treatment,VPD,tmax,tmin,tmean
2024-02-06,irrigation,0.24136770578703703,9.479666666666667,-0.06533333333333333,3.5450409708333335
2024-02-06,irrigation_vpd,0.2531768238425926,9.792,0.25266666666666665,3.7120210664351854
2024-02-06,roof,0.25176970393518516,10.729,-0.534,3.6336995416666666
2024-02-06,roof_vpd,0.23994719699074074,10.490666666666666,-0.45066666666666666,3.525228933101852
2024-02-07,control,0.14039327430555557,7.515000333333333,-0.76,3.275517132638889
2024-02-07,irrigation,0.13517077407407407,7.088,-0.7293333333333333,3.2043583333333334
2024-02-07,irrigation_vpd,0.14137292152777778,7.225,-0.5233333333333333,3.2814331018518517
2024-02-07,roof,0.1390499960648148,7.745333333333333,-0.8873333333333333,3.2323208319444445
2024-02-07,roof_vpd,0.13257852060185185,7.796333333333333,-0.907,3.204889584027778
2024-02-08,control,0.24302770439814814,11.915,3.027,7.55160578912037
2024-02-08,irrigation,0.22912032731481483,11.829,3.036,7.448086584027778
2024-02-08,irrigation_vpd,0.23598817476851852,11.781333333333333,3.0486666666666666,7.470244213657407
2024-02-08,roof,0.24646085787037036,12.268333333333333,3.012,7.600055096990741
2024-02-08,roof_vpd,0.23240124444444443,11.873,3.011,7.517335644444445
2024-02-09,control,0.42239526226851853,12.449666666666667,6.348,9.52413148773148
2024-02-09,irrigation,0.4139992398148148,12.427666666666667,6.408,9.479364588194445
2024-02-09,irrigation_vpd,0.42518107083333334,12.405333333333333,6.491333333333333,9.539528008101852
2024-02-09,roof,0.4216616543981481,12.442,6.3,9.527551858101852
2024-02-09,roof_vpd,0.41242318518518517,12.387,6.273,9.487178935416667
2024-02-10,control,0.6996832377314814,14.684,7.472333333333333,11.505298847453703
2024-02-10,irrigation,0.6963394155092593,14.630666666666666,7.455333333333333,11.469236804398149
2024-02-10,irrigation_vpd,0.7035321023148148,14.636,7.484,11.525212034722221
2024-02-10,roof,0.7055893773148149,14.683,7.405666666666667,11.532009028935185
2024-02-10,roof_vpd,0.6988788101851852,14.682,7.434333333333333,11.495934496064814
2024-02-11,control,0.32785159444444445,11.081,4.511666666666667,6.879757647222222
2024-02-11,irrigation,0.325728693287037,10.992666666666667,4.512666666666667,6.857517834953704
2024-02-11,irrigation_vpd,0.329756887962963,10.938333333333333,4.533333333333333,6.872920375231481
2024-02-11,roof,0.3251150219907407,11.472666666666667,4.493666666666667,6.856045847916667
2024-02-11,roof_vpd,0.32073533125,11.025333333333334,4.497333333333334,6.850818052314815
2024-02-12,control,0.26209820902777775,10.069666666666667,0.15466666666666667,5.148225462037037
2024-02-12,irrigation,0.25959703958333336,10.103333666666666,0.12266666666666666,5.127814595601852
2024-02-12,irrigation_vpd,0.2632222650462963,9.951333333333332,0.3,5.170955559490741
2024-02-12,roof,0.26152872106481484,10.284666666666666,0.043,5.14413194837963
2024-02-12,roof_vpd,0.25582606412037034,10.098333333333333,-0.056666666666666664,5.101769900925926
2024-02-13,control,0.30463023333333333,10.518333333333333,0.47533333333333333,4.768090047453704
2024-02-13,irrigation,0.29513271458333334,10.234333333333334,0.37433333333333335,4.638141669444445
2024-02-13,irrigation_vpd,0.3055940006944444,10.539,0.7316666666666667,4.7898962972222225
2024-02-13,roof,0.3094590525462963,11.145666666666667,0.194,4.811280788425926
2024-02-13,roof_vpd,0.2986222798611111,10.983666666666666,0.233,4.714427316666667
2024-02-14,control,0.4235924509259259,12.013666666666667,0.20266666666666666,5.8095743106481486
2024-02-14,irrigation,0.41929112291666665,11.882,0.254,5.745265978009259
2024-02-14,irrigation_vpd,0.42578489189814817,11.888333333333334,0.36033333333333334,5.848497921296296
2024-02-14,roof,0.43074376574074075,11.98,0.03933333333333333,5.893764830787037
2024-02-14,roof_vpd,0.41961032407407406,11.947,0.012666666666666666,5.776266427083334
2024-02-15,control,0.4785157636574074,15.060666666666666,2.2376666666666667,8.146865040972223
2024-02-15,irrigation,0.4742288673611111,14.902,2.288333333333333,8.096951631481481
2024-02-15,irrigation_vpd,0.4812549203703704,14.912,2.446,8.19256597800926
