Date,TreeNr,Time,LWP1_bar,LWP2_bar,LWP3_bar,Method,LWP_mean,TWD,gs,sapflow,PRI,SMP_1cm,SMP_20cm,SMP_80cm,SMP_110cm,SMP_160cm,SMP_mean,VPD_kPa,pd_md
2021-06-01,13,11:45:00,7,7,7,bagged,7,170,207.3,,,,,,,,,,md
2021-06-01,13,14:30:00,7,7,8,bagged,7.3,,,,,,,,,,,,md
2021-06-01,13,17:14:00,7,7,8,bagged,7.3,,,,,,,,,,,,md
2021-06-01,13,02:57:00,4,5,4,unbagged,4.3,167,,,,,,,,,,,pd
2021-06-01,13,07:20:00,6,6,7,unbagged,6.3,,,,,,,,,,,,md
2021-06-01,13,09:17:00,9,9,10,unbagged,9.3,,,,,,,,,,,,md
2021-06-01,13,11:40:00,11,12,11,unbagged,11.3,170,207.3,,,,,,,,,,md
2021-06-01,13,14:22:00,11,11,12,unbagged,11.3,,,,,,,,,,,,md
2021-06-01,13,17:11:00,6,8,7,unbagged,7,,,,,,,,,,,,md
2021-07-21,13,08:19:00,3,4,4,bagged,3.7,,,,,,,,,,,,md
2021-07-21,13,11:44:00,6,6,7,bagged,6.3,181,392.6,,,,,,,,,,md
2021-07-21,13,14:36:00,6,7,7,bagged,6.7,,,,,,,,,,,,md
2021-07-21,13,16:31:00,8,8,9,bagged,8.3,,,,,,,,,,,,md
2021-07-21,13,03:14:00,3,3,4,unbagged,3.3,182,,,,,,,,,,,pd
2021-07-21,13,08:25:00,7,9,11,unbagged,9,,,,,,,,,,,,md
2021-07-21,13,11:53:00,18,18,20,unbagged,18.7,181,392.6,,,,,,,,,,md
2021-07-21,13,14:41:00,16,18,23,unbagged,19,,,,,,,,,,,,md
2021-07-21,13,16:38:00,12,18,20,unbagged,19,,,,,,,,,,,,md
2021-08-26,13,11:44:00,13,13,17,bagged,14.3,203,343.2,,,,,,,,,,md
2021-08-26,13,14:36:00,19,19,21,bagged,19.7,,,,,,,,,,,,md
2021-08-26,13,03:17:00,10,10,12,unbagged,10.7,184,,,,,,,,,,,pd
2021-08-26,13,11:50:00,22,23,25,unbagged,23.3,203,343.2,,,,,,,,,,md
2021-08-26,13,14:41:00,24,25,26,unbagged,25,,,,,,,,,,,,md
2021-09-07,13,11:57:00,25,26,27,bagged,26,302,110.9,,,,,,,,,,md
2021-09-07,13,14:40:00,26,27,29,bagged,27.3,,,,,,,,,,,,md
2021-09-07,13,04:43:00,17,17,18,unbagged,17.3,283,,,,,,,,,,,pd
2021-09-07,13,11:52:00,27,28,29,unbagged,28,302,110.9,,,,,,,,,,md
2021-09-07,13,14:36:00,26,28,29,unbagged,27.7,,,,,,,,,,,,md
2022-06-14,13,08:12:00,16,16,17,bagged,16.3,,,,,,,,,,,,md
2022-06-14,13,11:46:00,19,20,20,bagged,19.7,260,104,,,,,,,,,,md
2022-06-14,13,14:46:00,20,20,21,bagged,20.3,,,,,,,,,,,,md
2022-06-14,13,02:50:00,14,14,15,unbagged,14.3,230,,,,,,,,,,,pd
2022-06-14,13,08:18:00,19,19,21,unbagged,19.7,,,,,,,,,,,,md
2022-06-14,13,11:48:00,19,20,21,unbagged,20,260,104,,,,,,,,,,md
2022-06-14,13,14:49:00,20,21,21,unbagged,20.7,,,,,,,,,,,,md
2022-07-11,13,12:54:00,27,28,28,bagged,27.7,310,59.8,,,,,,,,,,md
2022-07-11,13,03:44:00,23,23,24,unbagged,23.3,305,,,,,,,,,,,pd
2022-07-11,13,12:50:00,29,29,30,unbagged,29.3,310,59.8,,,,,,,,,,md
2022-08-13,13,12:48:00,36,37,39,bagged,37.3,399,34.725,,,,,,,,,,md
2022-08-13,13,03:48:00,34,35,36,unbagged,35,413,,,,,,,,,,,pd
