scen,twd_pd_cor,lwp_pd_cor,twd_md_cor,lwp_md_cor,min_pd_psi,min_md_psi,plfl_mean,plfl_max
3290,-0.6270600362546591,0.5512401512177884,-0.699059732014137,0.7147800812669359,-393.61933797909467,-393.61933797909467,0.18182818692152755,0.7361680047249426
3291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3292,-0.7414576330517709,0.6452123848425025,-0.7655839985452265,0.7939395890389278,-2570.9500000000003,-2570.9500000000003,0.4510137811547002,3.2773306135192284
3293,-0.6455887615029738,0.572017500941245,-0.7028850510423573,0.7198834180918806,-534.4189489267217,-534.4189489267217,0.10176766731634299,0.8596133022302344
3294,-0.7261267527116944,0.6273005674626007,-0.7731535255899571,0.7932439555170873,-1361.1416026344673,-1361.1416026344673,0.4149063323729629,2.793380369609855
3295,-0.7579263993638787,0.6703641787046978,-0.7914504994214593,0.815546151340325,-4352.159459617225,-4352.159459617225,0.7595410106453103,4.097788399551826
3296,-0.7472476581107638,0.6509074717846479,-0.7957793488142447,0.8166873477469045,-1581.6714380151766,-1582.4829688975149,0.48670310871962974,2.7957441587122656
3297,-0.7123139700959729,0.6268151956464646,-0.7270564839441549,0.7524601813023819,-1804.6018551981717,-1804.6018551981717,0.3162565934115667,2.8228656080215813
3298,-0.6705193089606614,0.5935605374680156,-0.7294554965059509,0.7465796699230913,-638.379290939787,-638.379290939787,0.15234058404228987,1.2144358723665933
3299,-0.7405748475166992,0.6502149537141741,-0.7790039357120169,0.8033026812397647,-1730.9499914377398,-1730.9499977042135,0.4047153655287791,2.605550401889851
3300,-0.7285278032234545,0.6187296749648593,-0.7752926330160594,0.799792734822035,-3505.3402936810344,-3592.517987160042,0.5322687497748432,3.726401965208157
3301,-0.7071371180693494,0.6208039940493247,-0.7683863311170374,0.7864915353634702,-895.8389261745004,-895.8389261745004,0.27141414933225166,1.5789860127587731
3302,-0.6652469603973207,0.5809763375072979,-0.7285755055245074,0.7446771230530087,-476.9660872736121,-476.9660872736121,0.33899764143309064,1.119912406972241
3303,-0.6188351705507977,0.5179720261176346,-0.6554237136468425,0.6655562377501325,-17112.87971481569,-18491.759906687596,0.7316210710547768,4.434324025623685
3304,-0.7231062516668951,0.6351650794568319,-0.7574820714131881,0.7794252698863634,-2223.181896700641,-2223.1818967006416,0.40984561416885956,1.2870000000000004
3305,-0.7432472055094136,0.6403893846449952,-0.7833104290820574,0.8077485629434594,-1989.452627750505,-1989.452627750505,0.5932626599977563,3.702353137873853
3306,-0.7295627322196112,0.6320718898653612,-0.7540973445906105,0.7819346810712108,-2255.1599944590685,-2255.1599944590685,0.446278457308316,3.0642082476958734
3307,-0.7595975379707067,0.669393066212062,-0.803371047791237,0.8258002799130522,-2145.8700683827356,-2156.6881172747762,0.11282953661062294,0.7252966702524881
3308,-0.7474147444709486,0.6394651775901279,-0.7886963870997947,0.8137176977740413,-2877.8719870100495,-2902.1953514441216,0.7201711572058124,3.920294138957566
3309,-0.7203863642970915,0.6369313274894532,-0.7706794415987955,0.7898205414707686,-6486.782944285121,-6486.782944285121,1.0644938007108813,4.434207121727946
3310,-0.7419549820497038,0.6338148285041908,-0.7846260228038281,0.8068686494468634,-2080.9903483004646,-2080.9903483004646,0.8870922665465751,4.17420448269312
3311,-0.7420546581324854,0.6468776394897978,-0.7559951410420233,0.783781571983719,-2912.0971823857067,-2912.0971823857067,0.5306221238767681,3.715957181871854
3312,-0.6639207352546339,0.5679705657273754,-0.6904222530834503,0.7058055240030013,-407.0547500541012,-407.0547500541012,0.36083406778990296,1.1589603237941835
3313,-0.6639925850487354,0.58221450219568,-0.729045245395018,0.7461520521427357,-562.5719769673708,-562.5719769673708,0.09947141525879796,0.763142286335398
3314,-0.7545493940150831,0.6582326427731406,-0.7979806288195712,0.8209598661122463,-2007.2939234530209,-2016.8682177153228,0.45224736764002904,2.8864752101012527
3315,-0.7272879898868996,0.6306568573751059,-0.7645503697881686,0.7895539802889101,-1683.2495640578527,-1683.2495640578527,0.5081088717064364,2.799337163047695
3316,-0.761103407095092,0.6725739048564771,-0.7611321151893948,0.7871976647764076,-3584.8845705817935,-3584.976123561436,0.5037405705202016,3.749165021901573
3317,-0.7252461866968415,0.6322460633475563,-0.6819241036712788,0.7027363750010429,-1636.7310282891808,-1636.7310282891808,0.6559018389232464,1.4580000000000006
3318,-0.7578832704126602,0.674041456005087,-0.802963477695597,0.8250903333835465,-1740.9499439076687,-1740.9499818718118,0.22704263341847983,1.5051832703555357
3319,-0.7426084998017013,0.6969866922201704,-0.7557882797923106,0.7836843590422017,-2587.5796328522238,-2588.5495873409286,0.09439749188137331,0.5264455686954553
3320,-0.7078612124852854,0.6185175271305892,-0.7653563759409113,0.783506614932609,-969.4373697615196,-969.4373697615196,0.3149703526076155,2.0418506154472307
3321,-0.7435053515007962,0.6375248838964777,-0.7831630870722295,0.8077691261729822,-3342.9486578761052,-3363.752653855507,0.8555590590608699,4.30103870728797
3322,-0.7505718178427474,0.6695916895306883,-0.7868649470304213,0.811202386129758,-1843.8835338913157,-1843.914727837197,0.27406165373465724,1.801465694334309
3323,-0.7123675949356962,0.6210518848623717,-0.7694046073777292,0.7874616847393805,-1015.0997465006087,-1015.0997465006087,0.36888368624189566,2.2413338154217097
3324,-0.7564089940891666,0.6684270894655384,-0.8036282572469388,0.824967481292378,-1668.9502818814863,-1668.9502818814863,0.25877299650508295,1.6965959436983682
3325,-0.6525690238424746,0.5617609843177871,-0.717989200533541,0.7338901157403264,-436.69871794871904,-436.69871794871904,0.16960649952707135,0.6045596248979227
