ψ_kPa_100mm,ψ_kPa_200mm,ψ_kPa_400mm,ψ_kPa_600mm,ψ_kPa_800mm,ψ_kPa_1000mm,ψ_kPa_1200mm,date,ψ_kPa_eff,RWU,AET,ks
-203.12693480944628,-138.3312997692721,-102.9490026607488,-95.19906929477568,-88.2289581218194,-84.93830191955836,-80.1549179101,2024-09-22,-106.86033384398365,0.592107283729288,0.6187930215050896,0.1
-145.35665469800796,-118.57425453298077,-110.34061160851202,-102.99914103072327,-95.22234426655604,-91.31106236542021,-85.1980131285351,2024-09-23,-106.05506248936109,0.5202806099500924,0.5278710276168088,0.1
-45.140432747052245,-63.213842527484296,-99.0981106676185,-98.9062370627076,-95.3690273181245,-92.93841764645602,-87.92749560411154,2024-09-24,-93.85443626239888,0.12864944410995238,0.05619214522130066,0.1
-73.06148778127624,-81.50870111814139,-93.22582934725628,-92.90169620096162,-91.50717523781248,-90.45224133207607,-87.62296892539501,2024-09-25,-74.02172496770936,0.49079291735488184,0.434580699759468,0.1
-55.739055020446955,-67.97593796496943,-90.49836529742065,-90.8841151131034,-89.95453277597422,-89.19021524039432,-87.18145198355687,2024-09-26,-64.70924400685385,0.2814371950945139,0.32167208825871996,0.1
-0.13077664799460073,-0.3000372376820914,-2.9411822944728705,-8.352937651123119,-29.20680042705875,-46.06739846752778,-72.2670821668558,2024-09-27,-0.2808314800553528,0.1097988951606205,0.03752929784804043,0.1
-3.4890982244567974,-5.284980401614829,-9.002489133363074,-9.55049384910861,-11.462991317178894,-12.958139941171453,-18.918483234992205,2024-09-28,-5.195465072998439,0.40220677199262933,0.2379672367158902,0.1
-5.096760588603969,-7.645417117265547,-12.310559064738595,-12.66435281299837,-13.752566805974999,-14.561533002649977,-17.305663623986106,2024-09-29,-7.128324097274119,0.13665952968090359,0.18627192581881905,0.1
-8.91264197491552,-11.53325219334968,-15.401902117844518,-15.30314919421176,-15.754777880070874,-16.15056996444809,-17.528779319239597,2024-09-30,-11.411585191919473,0.37066483004303646,0.42234288530200487,0.1
-14.369010520398371,-16.149293455424086,-18.52026202487439,-17.90854898872283,-17.727223715134798,-17.746669687720228,-18.14895116803585,2024-10-01,-16.069878706466433,0.4877031362072508,0.5073032530626254,0.1
-0.5283132902911338,-1.9506055210648197,-10.792338732524867,-14.058638903360162,-16.268855946087907,-17.116708712588792,-17.958294311785885,2024-10-02,-0.7545806419130512,0.07781652544966779,0.024140829569341188,0.1
-0.29643014779943677,-0.5746155908846973,-2.545920403491792,-2.9241345084274712,-3.803685102935164,-4.459649776980809,-6.708118910701731,2024-10-03,-1.149199500910095,0.21962671990290403,0.23843694154940823,0.1
