 

stn;time;rka150d0
VSSIE;20160216;0.0
VSSIE;20160217;0.0
VSSIE;20160218;0.0
VSSIE;20160219;0.8
VSSIE;20160220;8.8
VSSIE;20160221;0.0
VSSIE;20160222;1.4
VSSIE;20160223;3.7
VSSIE;20160224;2.4
VSSIE;20160225;4.2
VSSIE;20160226;0.0
VSSIE;20160227;0.0
VSSIE;20160228;3.1
VSSIE;20160229;0.4
VSSIE;20160301;0.0
VSSIE;20160302;3.4
VSSIE;20160303;1.7
VSSIE;20160304;0.0
VSSIE;20160305;3.9
VSSIE;20160306;0.0
VSSIE;20160307;0.2
VSSIE;20160308;0.0
VSSIE;20160309;0.0
VSSIE;20160310;0.0
VSSIE;20160311;0.0
VSSIE;20160312;0.0
VSSIE;20160313;0.0
VSSIE;20160314;0.0
VSSIE;20160315;0.0
VSSIE;20160316;0.9
VSSIE;20160317;0.0
VSSIE;20160318;0.0
VSSIE;20160319;0.0
VSSIE;20160320;0.0
VSSIE;20160321;0.0
VSSIE;20160322;0.0
VSSIE;20160323;0.0
VSSIE;20160324;0.0
VSSIE;20160325;0.6
VSSIE;20160326;0.0
VSSIE;20160327;0.4
VSSIE;20160328;0.0
VSSIE;20160329;1.3
VSSIE;20160330;0.0
VSSIE;20160331;0.0
VSSIE;20160401;0.0
VSSIE;20160402;0.0
VSSIE;20160403;0.0
VSSIE;20160404;0.0
VSSIE;20160405;0.7
VSSIE;20160406;10.6
VSSIE;20160407;0.0
VSSIE;20160408;9.1
VSSIE;20160409;1.9
VSSIE;20160410;0.0
VSSIE;20160411;0.0
VSSIE;20160412;0.0
VSSIE;20160413;1.8
VSSIE;20160414;0.1
VSSIE;20160415;0.4
VSSIE;20160416;0.9
VSSIE;20160417;4.6
VSSIE;20160418;0.0
VSSIE;20160419;0.0
VSSIE;20160420;0.0
VSSIE;20160421;0.0
VSSIE;20160422;12.6
VSSIE;20160423;2.3
VSSIE;20160424;0.0
VSSIE;20160425;0.1
VSSIE;20160426;0.0
VSSIE;20160427;0.0
VSSIE;20160428;0.0
VSSIE;20160429;0.0
VSSIE;20160430;5.1
VSSIE;20160501;2.3
VSSIE;20160502;0.0
VSSIE;20160503;0.3
VSSIE;20160504;0.0
VSSIE;20160505;0.0
VSSIE;20160506;0.0
VSSIE;20160507;0.0
VSSIE;20160508;0.0
VSSIE;20160509;0.0
VSSIE;20160510;0.0
VSSIE;20160511;0.1
VSSIE;20160512;13.5
VSSIE;20160513;12.9
VSSIE;20160514;0.0
VSSIE;20160515;0.0
VSSIE;20160516;0.0
VSSIE;20160517;0.0
VSSIE;20160518;1.2
VSSIE;20160519;1.6
VSSIE;20160520;0.0
VSSIE;20160521;0.0
VSSIE;20160522;0.0
VSSIE;20160523;23.0
VSSIE;20160524;0.2
VSSIE;20160525;0.0
VSSIE;20160526;0.0
VSSIE;20160527;0.0
VSSIE;20160528;0.0
VSSIE;20160529;26.3
VSSIE;20160530;0.9
VSSIE;20160531;-
VSSIE;20160601;0.0
VSSIE;20160602;2.7
VSSIE;20160603;2.8
VSSIE;20160604;0.5
VSSIE;20160605;0.0
VSSIE;20160606;1.2
VSSIE;20160607;0.0
VSSIE;20160608;2.4
VSSIE;20160609;0.4
VSSIE;20160610;0.0
VSSIE;20160611;6.0
VSSIE;20160612;0.2
VSSIE;20160613;3.7
VSSIE;20160614;0.8
VSSIE;20160615;0.0
VSSIE;20160616;11.9
VSSIE;20160617;0.8
VSSIE;20160618;0.0
VSSIE;20160619;0.0
VSSIE;20160620;0.0
VSSIE;20160621;0.2
VSSIE;20160622;0.0
VSSIE;20160623;0.0
VSSIE;20160624;0.0
VSSIE;20160625;5.8
VSSIE;20160626;0.0
VSSIE;20160627;0.0
VSSIE;20160628;0.0
VSSIE;20160629;0.2
VSSIE;20160630;7.2
VSSIE;20160701;0.0
VSSIE;20160702;1.7
VSSIE;20160703;0.0
VSSIE;20160704;0.0
VSSIE;20160705;0.0
VSSIE;20160706;0.0
VSSIE;20160707;0.0
VSSIE;20160708;0.0
VSSIE;20160709;0.0
VSSIE;20160710;0.0
VSSIE;20160711;2.7
VSSIE;20160712;10.3
VSSIE;20160713;0.5
VSSIE;20160714;0.0
VSSIE;20160715;0.0
VSSIE;20160716;0.0
VSSIE;20160717;0.0
VSSIE;20160718;0.0
VSSIE;20160719;0.0
VSSIE;20160720;0.0
VSSIE;20160721;0.1
VSSIE;20160722;8.1
VSSIE;20160723;0.0
VSSIE;20160724;0.0
VSSIE;20160725;0.0
VSSIE;20160726;0.0
VSSIE;20160727;0.2
VSSIE;20160728;0.0
VSSIE;20160729;0.0
VSSIE;20160730;0.0
VSSIE;20160731;7.1
VSSIE;20160801;0.0
VSSIE;20160802;0.0
